tick,phase,resources,resource_capacity,population,workers,vanguards,rangers,core_hp,core_shield,enemies_visible,HARVEST_SUCCEEDED,HARVEST_FAILED,DEPOSIT_SUCCEEDED,DEPOSIT_FAILED,UNIT_HEAL_SUCCEEDED,CORE_HEAL_SUCCEEDED,UNIT_SELF_DESTRUCTED,UNIT_MOVE_SUCCEEDED,combat_events,intents
38679,early_expansion,5,10,1,1,0,0,5,5,0,0,0,0,0,0,0,0,1,0,patrol:1
38680,early_expansion,5,10,1,1,0,0,5,5,0,0,0,0,0,0,0,0,1,0,patrol:1
38681,early_expansion,5,10,1,1,0,0,5,5,0,0,0,0,0,0,0,0,1,0,patrol:1
38682,early_expansion,5,10,1,1,0,0,5,5,0,0,0,0,0,0,0,0,1,0,patrol:1
38683,early_expansion,5,10,1,1,0,0,5,5,0,0,0,0,0,0,0,0,1,0,patrol:1
38684,early_expansion,5,10,1,1,0,0,5,5,0,0,0,0,0,0,0,0,1,0,patrol:1
38685,early_expansion,5,10,1,1,0,0,5,5,0,0,0,0,0,0,0,0,1,0,patrol:1
38686,early_expansion,5,10,1,1,0,0,5,5,0,0,0,0,0,0,0,0,1,0,patrol:1
38687,early_expansion,5,10,1,1,0,0,5,5,1,0,0,0,0,0,0,0,1,0,patrol:1
38688,early_expansion,5,10,1,1,0,0,5,5,0,0,0,0,0,0,0,0,1,0,patrol:1
38689,early_expansion,5,10,1,1,0,0,5,5,0,0,0,0,0,0,0,0,1,0,patrol:1
38690,early_expansion,5,10,1,1,0,0,5,5,0,0,0,0,0,0,0,0,1,0,patrol:1
38691,early_expansion,5,10,1,1,0,0,5,5,0,0,0,0,0,0,0,0,1,0,patrol:1
38692,early_expansion,5,10,1,1,0,0,5,5,0,0,0,0,0,0,0,0,1,0,patrol:1
38693,early_expansion,5,10,1,1,0,0,5,5,0,0,0,0,0,0,0,0,1,0,patrol:1
38694,early_expansion,5,10,1,1,0,0,5,5,0,0,0,0,0,0,0,0,1,0,patrol:1
38695,early_expansion,5,10,1,1,0,0,5,5,0,0,0,0,0,0,0,0,1,0,patrol:1
38696,early_expansion,5,10,1,1,0,0,5,5,1,0,0,0,0,0,0,0,1,0,patrol:1
38697,early_expansion,5,10,1,1,0,0,5,5,1,0,0,0,0,0,0,0,1,0,patrol:1
38698,early_expansion,5,10,1,1,0,0,5,5,1,0,0,0,0,0,0,0,1,0,patrol:1
38699,early_expansion,5,10,1,1,0,0,5,5,1,0,0,0,0,0,0,0,1,0,patrol:1
38700,early_expansion,5,10,1,1,0,0,5,5,1,0,0,0,0,0,0,0,1,0,patrol:1
